account_id,cust_id,product_type,segment,country,obs_month,default_month,months_to_default,credit_limit,outstanding_balance,payment_amount,min_payment_due,annual_interest_rate,dpd_days,utilization_ratio,ead_at_default
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-09-30,2023-10-31,1,248730.52994,200374.42785,7473.9554844,1602.9954228,0.1312251762,33,0.8055883928,200374.42785
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-08-31,2023-10-31,2,248730.52994,162039.55676,0,1296.3164541,0.1312251762,12,0.6514662949,200374.42785
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-07-31,2023-10-31,3,248730.52994,147517.50098,5103.2683206,1180.1400078,0.1312251762,14,0.5930816013,200374.42785
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-06-30,2023-10-31,4,248730.52994,134386.04618,5295.5564379,1075.0883695,0.1312251762,22,0.540287701,200374.42785
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-05-31,2023-10-31,5,248730.52994,153057.93549,1556.0588167,1224.4634839,0.1312251762,13,0.6153564483,200374.42785
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-04-30,2023-10-31,6,248730.52994,131755.13871,7466.3549672,1054.0411097,0.1312251762,10,0.5297103606,200374.42785
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-03-31,2023-10-31,7,248730.52994,134461.42291,2635.9067558,1075.6913833,0.1312251762,11,0.5405907467,200374.42785
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-02-28,2023-10-31,8,248730.52994,139510.53149,481.29412588,1116.0842519,0.1312251762,19,0.5608902595,200374.42785
1000001,7000001,SME_CREDIT_LINE,SME,GBR,2023-01-31,2023-10-31,9,248730.52994,137944.87292,6787.1541783,1103.5589833,0.1312251762,21,0.554595662,200374.42785
1000002,7000002,SME_CREDIT_LINE,SME,PAK,2024-07-31,2024-08-31,1,113627.97452,115675.69405,3511.1744263,925.40555242,0.125948881,25,1.0180212623,129156.60373
1000002,7000002,SME_CREDIT_LINE,SME,PAK,2024-06-30,2024-08-31,2,113627.97452,120107.06667,3138.2594626,960.85653337,0.125948881,10,1.0570202204,129156.60373
